"gid","name","sequence"
"896","GATA1","305371.0008"
"897","IGSF1","300137.0001"
"898","XK","314850.0001"
"899","WDR45","300526.0001"
"900","MED12","300188.0003"
"901","RPS6KA3","300075.0010"
"902","SLC35A2","314375.0001"
"903","SYP","313475.0001"
"904","NAA10","300013.0001"
"905","UBQLN2","300264.0001"
"906","UBE2A","312180.0001"
"907","GDI1","300104.0001"
"908","NDUFB11","300403.0001"
"909","PDK3","300906.0001"
"910","EBP","300205.0013"
"911","CCDC22","300859.0001"
"912","PLS3","300131.0001"
"913","ATP6AP2","300556.0002"
"914","TAF1","313650.0002"
"915","KIAA2022","300524.0001"
"916","NONO","300084.0001"
"917","USP9X","300072.0004"
"918","COL4A6","303631.0002"
"919","HMGB3","300193.0001"
"920","MBTPS2","300294.0008"
"921","USP9X","300072.0001"
"922","KIF4A","300521.0001"
"923","MID2","300204.0001"
"924","SSR4","300090.0001"
"925","TSR2","300945.0001"
"926","RNF113A","300951.0001"
"927","THOC2","300395.0001"
"928","DDX3X","300160.0001"
"929","AMMECR1","300195.0001"
"930","MAGED2","300470.0001"
"931","PIH1D3","300933.0001"
"932","ATP6AP1","300197.0001"
"933","RLIM","300379.0001"
"934","KLHL15","300980.0001"
"935","FRMPD4","300838.0001"
"936","USP27X","300975.0001"
"937","ADGRG2","300572.0001"
"938","HNRNPH2","300610.0001"
"939","EIF2S3","300161.0001"
"940","MSN","309845.0001"
"941","BGN","301870.0003"
"942","WASP","301000.0001"
"943","ATRX","300032.0001"
"944","COL4A5","303630.0001"
"945","AMELX","300391.0001"
"946","POLA1","312040.0001"
"947","ABCB7","300135.0001"
"948","GLA","300644.0001"
"949","UBA1","314370.0001"
"950","PRPS1","311850.0011"
"951","PHF6","300414.0001"
"952","TAZ","300394.0001"
"953","NHS","300457.0001"
"954","ATP2B3","300014.0001"
"955","GJB1","304040.0001"
"956","ARSE","300180.0001"
"957","EBP","300205.0001"
"958","CHM","300390.0001"
"959","CHM","300390"
"960","POU3F4","300039"
"961","L1CAM","308840.0004"
"962","RPS6KA3","300075.0001"
"963","OPN1LW","300822.0001"
"964","OPN1MW","300821.0002"
"965","EFNB1","300035.0001"
"966","FLNA","300017.0010"
"967","ATP7A","300011.0002"
"968","AP1S2","300629.0001"
"969","POU3F4","300039.0001"
"970","PRPS1","311850.0013"
"971","TIMM8A","300356.0001"
"972","BCL10","603517.0001"
"973","WT1","607102.0016"
"974","PTHR1","168468.0001"
"975","COL10A1","120110.0001"
"976","TRPV4","605427.0006"
"977","COL2A1","120140.0012"
"978","TUBB","191130.0004"
"979","SIX3","603714.0001"
"980","DCC","120470.0001"
"981","POLG","174763.0001"
"982","MAP3K7","602614.0005"
"983","KRT81","602153.0001"
"984","KRT83","602765.0001"
"985","KRT86","601928.0001"
"986","MYH8","160741.0001"
"987","MLH1","120436.0006"
"988","MSH2","120435.0006"
"989","WNT4","603490.0001"
"990","PTEN","601728.0001"
"991","SLC5A7","608761.0001"
"992","HSPB8","608014.0001"
"993","DYNC1H1","600112.0001"
"994","COL6A1","120220.0001"
"995","COL6A2","120240.0001"
"996","COL6A3","120250.0001"
"997","TTID","604103.0001"
"998","LMNA","150330.0017"
"999","SAMD9L","611170.0001"
"1000","SGCE","604149.0001"
"1001","ASAH1","613468.0006"
"1002","KCNA1","176260.0001"
"1003","DNM2","602378.0004"
"1004","MYH7","160760.0029"
"1005","STIM1","605921.0004"
"1006","CLCN1","118425.0002"
"1007","DMPK","605377.0001"
"1008","PRKAR1A","188830.0001"
"1009","KRT14","148066.0015"
"1010","LMX1B","602575.0001"
"1011","HCRT","602358.0001"
"1012","ACTA1","102610.0001"
"1013","UMOD","191845.0001"
"1014","NF2","607379.0017"
"1015","SMARCB1","601607.0005"
"1016","SEPT9","604061.0001"
"1017","NF1","162200.0001"
"1018","NF1","162200.0018"
"1019","RET","164761.0013"
"1020","DNAJC5","611203.0001"
"1021","SPTLC1","605712.0001"
"1022","PMP22","601097.0004"
"1023","CSF3R","138971.0001"
"1024","PIK3CA","171834.0004"
"1025","FGFR3","134934.0001"
"1026","HRAS","190020.0017"
"1027","HCN4","605206.0001"
"1028","PTPN11","176876.0001"
"1029","GJA1","121014.0003"
"1030","MYCN","164840.0001"
"1031","PABPN1","602279.0001"
"1032","ATX1","601556.0001"
"1033","SCA7","607640.0001"
"1034","OPA3","606580.0002"
"1035","OPA1","605290.0001"
"1036","FRZB","605083.0001"
"1037","ACAN","155760.0003"
"1038","COL1A1","120150.0024"
"1039","COL1A1","120150.0001"
"1040","COL1A2","120160.0007"
"1041","COL1A1","120150.0003"
"1042","COL1A2","120160.0004"
"1043","FGFR1","136350.0008"
"1044","ANO5","608662.0001"
"1045","MAFB","608968.0001"
"1046","GNAS1","139320.0011"
"1047","CLCN7","602727.0004"
"1048","LEMD3","607844.0001"
"1049","SLC26A1","610130.0001"
"1050","KRT16","148067.0001"
"1051","KRT6A","148041.0001"
"1052","KRT6B","148042.0001"
"1053","KRT17","148069.0001"
"1054","SQSTM1","601530.0001"
"1055","VCP","601023.0001"
"1056","SCN9A","603415.0008"
"1057","SDHD","602690.0001"
"1058","SCN4A","603967.0003"
"1059","MSX2","123101.0002"
"1060","SNCA","163890.0001"
"1061","DCTN1","601143.0006"
"1062","TFAP2B","601601.0001"
"1063","PRPH2","179605.0009"
"1064","LBR","600024.0001"
"1065","LMNB1","150340.0001"
"1066","ATP2C1","604384.0001"
"1067","PEPD","613230.0001"
"1068","KCNJ2","600681.0001"
"1069","CACNA1S","114208.0001"
"1070","SCN4A","603967.0001"
"1071","CTSC","602365.0012"
"1072","RET","1645761.0001"
"1073","MAPT","157140.0011"
"1074","PSEN1","104311.0027"
"1075","CARD14","607211.0006"
"1076","FLCN","607273.0009"
"1077","KIND1","607900.0001"
"1078","PKD1","601313.0001"
"1079","MUC1","158340.0001"
"1080","PRKCSH","177060.0001"
"1081","GLI3","165240.0004"
"1082","DDX59","615464.0001"
"1083","GNAS1","139320.0008"
"1084","TNFRSF11A","603499.0001"
"1085","SMAD4","600993.0007"
"1086","APC","611731.0001"
"1087","STK11","602216.0001"
"1088","GLI3","165240.0001"
"1089","COL4A1","120130.0001"
"1090","PMVK","607622.0001"
"1091","MVK","251170.0009"
"1092","HMBS","176000.0001"
"1093","UROD","176100.0001"
"1094","PPOX","600923.0001"
"1095","NDN","602117"
"1096","SNRPN","182279"
"1097","HLXB9","142994.0001"
"1098","PROC","612283.0001"
"1099","AKT1","164730.0001"
"1100","FECH","612386.0001"
"1101","COMP","600310.0001"
"1102","LOXL1","153456.0001"
"1103","NR3C2","600983.0001"
"1104","GP1BA","606672.0003"
"1105","ABCC6","603234.0005"
"1106","HLA-C","142840.0001"
"1107","MYH3","160270.0009"
"1108","SFTPA2","178642.0001"
"1109","KRT5","148040.0018"
"1110","ORP1","603937.0001"
"1111","RP9","607331.0002"
"1112","RB1","614041.0001"
"1113","PITX2","601542.0001"
"1114","WNT5A","164975.0001"
"1115","MPZ","159440.0021"
"1116","PMP22","601097.0001"
"1117","CREBBP","600140.0001"
"1118","ICR1","616186"
"1119","FGF10","602115.0001"
"1120","HLA-DR1B","142857.0001"
"1121","BTNL2","606000.0001"
"1122","PLAG1","603026"
"1123","KCTD1","613420.0001"
"1124","LMNA","150330.0001"
"1125","TRPV4","605427.0008"
"1126","TBX3","601621.0001"
"1127","HSPA9","600548.0001"
"1128","RAI1","607642.0004"
"1129","SKI","164780.0001"
"1130","HESX1","601802.0001"
"1131","IFIH1","606951.0009"
"1132","CECR1","607575.0010"
"1133","SPG3A","606439.0001"
"1134","SPG4","604277.0001"
"1135","ANK1","612641.0001"
"1136","TTID","604103.0006"
"1137","VAPB","605704.0001"
"1138","CACNA1A","601011.0007"
"1139","CACNA1A","601011.0002"
"1140","ATX2","601517.0001"
"1141","DLX5","600028.0002"
"1142","COL2A1","120140.0001"
"1143","COL2A1","120140.0017"
"1144","TRPV4","605427.0002"
"1145","AP4E1","607244.0004"
"1146","NOG","602991.0013"
"1147","KRT17","148069.0004"
"1148","COL11A2","120290.0001"
"1149","FBN1","134797.0050"
"1150","RHAG","180297.0011"
"1151","SLC4A1","109270.0033"
"1152","STIM1","605921.0008"
"1153","GNAQ","600998.0001"
"1154","NOG","602991.0001"
"1155","HOXD13","142989.0001"
"1156","LMBR1","605522.0010"
"1157","HOXD13","142989.0008"
"1158","NOG","602991.0003"
"1159","GDF5","601146.0013"
"1160","PITX1","602149"
"1161","NOG","602991.0006"
"1162","NOD2","605956.0004"
"1163","ENG","131195.0001"
"1164","FGFR3","134934.0005"
"1165","FGFR3","134934.0004"
"1166","ITGA2B","607759.0017"
"1167","ITGB3","173470.0018"
"1168","GFI1B","604383.0001"
"1169","THPO","600044.0001"
"1170","ANKRD26","610855.0001"
"1171","MASTL","608221.0001"
"1172","FLI1","193067"
"1173","F2","176930.0009"
"1174","F5","612309.0001"
"1175","TUPLE1","600237"
"1176","DGCR2","600594"
"1177","SRGAP1","606523.0001"
"1178","NKX2-1","600635.0012"
"1179","CACNA1S","114208.0005"
"1180","MSX1","142983.0003"
"1181","DRD3","126451.0001"
"1182","DLX3","600525.0001"
"1183","FGF5","165190.0001"
"1184","TRPS1","604386.0001"
"1185","TRPS1","604386.0007"
"1186","FGFR1","136350.0011"
"1187","TSC1","605284.0001"
"1188","PADI3","606755.0001"
"1189","ITGA8","604063.0001"
"1190","NLRP3","606416.0004"
"1191","TREX1","606609.0008"
"1192","TBX1","602054"
"1193","KCNQ1","192500.0001"
"1194","MYH7","160760.0001"
"1195","HOXD10","142984.0001"
"1196","FGF23","605380.0001"
"1197","BEST1","607854.0020"
"1198","VHL","608537.0001"
"1199","VWF","613160.0028"
"1200","PAX3","606597.0001"
"1201","MITF","156845.0001"
"1202","NF1","162200.0010"
"1203","EVC","604831.0006"
"1204","EVC2","607261.0009"
"1205","CXCR4","162643.0001"
"1206","MYH3","160720.0001"
"1207","WT1","607102.0010"
"1208","BRCA2","600185.0027"
"1209","CHRM3","118494.0001"
"1210","ARHGAP31","610911.0001"
"1211","NF2","101000.0001"
"1212","FGFR2","176943.0010"
"1213","TWIST","601622.0001"
"1214","FGFR1","136350.0001"
"1215","FGFR2","176943.0012"
"1216","PRKAR1A","188830.0015"
"1217","ATP2A2","108740"
"1218","AIP","605555.0001"
"1219","FBN1","134797.0055"
"1220","NOTCH2","600275.0003"
"1221","SPATA16","609856.0001"
"1222","ADA","102700.0001"
"1223","ADSL","608222.0001"
"1224","TP73L","603273.0011"
"1225","MITF","156845.0006"
"1226","GNAS1","139320.0001"
"1227","CYP11B1","610613"
"1228","CYP11B2","124080"
"1229","GJA1","121014.0023"
"1230","COL4A3","120070.0009"
"1231","ATP1A2","182340.0005"
"1232","APP","104760.0002"
"1233","A2M","103950.0005"
"1234","ENAM","606585.0001"
"1235","LAMB3","150310.0017"
"1236","CST3","604312.0001"
"1237","TTR","176300.0001"
"1238","SOD-1","147450.0001"
"1239","NEFH","162230.0001"
"1240","PRPH","170710.0001"
"1241","DCTN1","601143.0002"
"1242","C9ORF72","614260.0001"
"1243","RPS19","603474.0001"
"1244","UBE3A","601623.0001"
"1245","C1NH","106100.0001"
"1246","ITPR2","600144.0001"
"1247","PAX6","607108.0001"
"1248","TP63","603273.0009"
"1249","HLA-B","142830.0001"
"1250","PITX3","602669.0001"
"1251","SALL1","602218.0001"
"1252","BMS1","611448.0001"
"1253","TGFB3","190230.0001"
"1254","TPM2","190990.0001"
"1255","PIEZO2","613629.0001"
"1256","COL2A1","120140.0005"
"1257","CACNA1A","601011.0005"
"1258","VAMP1","185880.0001"
"1259","FLNB","603381"
"1260","FLNB","603381.0006"
"1261","NKX2-5","600584.0001"
"1262","MJD","607047.0001"
"1263","PTCH1","601309.0001"
"1264","PTCH2","603673.0003"
"1265","SUFU","607035.0003"
"1266","FOXL2","605597.0001"
"1267","GCNT2","600429"
"1268","P4HB","176790.0001"
"1269","MTAP","156540.0001"
"1270","PDE3A","123805.0001"
"1271","IHH","600726.0001"
"1272","BMPR1B","603248.0001"
"1273","GD5","601146.0005"
"1274","BMP2","112261.0001"
"1275","ROR2","602337.0001"
"1276","GDF5","601146.0006"
"1277","TRPV4","605427.0001"
"1278","TFAP2A","107580.0001"
"1279","EYA1","601653.0001"
"1280","SLC24A5","609802.0001"
"1281","KRT1","139350.0001"
"1282","KRT10","148080.0001"
"1283","SCN5A","600163.0009"
"1284","MYC","190080.0001"
"1285","SOX9","114290.0001"
"1286","BRCA1","113705.0001"
"1287","BRCA2","600185.0001"
"1288","SLC22A1L","602631.0001"
"1289","TP53","191170.0023"
"1290","BRIP1","605882.0001"
"1291","RAD51A","179617.0001"
"1292","CHEK2","604373.0007"
"1293","TP53","191170.0006"
"1294","MET","164860.0008"
"1295","CTNNB1","116806.0013"
"1296","KRAS","190070.0009"
"1297","BRAF","164757.0012"
"1298","MAP2K1","176872.0001"
"1299","MAP2K2","601263.0001"
"1300","BCMO1","605748.0001"
"1301","SDHB","185470.0001"
"1302","CRYGD","123690.0001"
"1303","CRYBA2","600836.0001"
"1304","GJA8","600897.0001"
"1305","VIM","193060.0001"
"1306","WFS1","606201.0032"
"1307","GCNT2","600429.0001"
"1308","HSF4","602438.0001"
"1309","KRIT1","604214.0001"
"1310","ITGB2","600065.0001"
"1311","RYR1","180901.0003"
"1312","BEAN","612051.0001"
"1313","ITPR1","147265.0003"
"1314","NSD1","606681.0001"
"1315","SNRPB","182282.0001"
"1316","GDF6","601147.0001"
"1317","MPZ","159440.0001"
"1318","KIF1B","605995.0001"
"1319","PMP22","601097.0010"
"1320","JAG1","601920.0001"
"1321","SH3BP2","602104.0001"
"1322","ANKH","605145.0006"
"1323","TITF1","600635.0001"
"1324","MR1","609023.0001"
"1325","IRF6","607199.0001"
"1326","IRF6","607199.0003"
"1327","RUNX2","600211.0001"
"1328","PITX1","602149.0001"
"1329","HPGD","119900.0004"
"1330","NLRP3","606416.0001"
"1331","PAX2","167409.0001"
"1332","YAP1","606608.0001"
"1333","FBN2","121050.0001"
"1334","KCNQ2","602235.0001"
"1335","KCNQ3","602232.0001"
"1336","CPO","612732.0001"
"1337","PIP5K3","609414.0001"
"1338","OVOL2","616441.0001"
"1339","KRT3","148043.0001"
"1340","KRT12","601687.0001"
"1341","TGFBI","601692.0003"
"1342","COL17A1","113811.0015"
"1343","NIPBL","608667.0001"
"1344","TBX6","602427.0001"
"1345","SOST","605740.0005"
"1346","ANKH","605145.0001"
"1347","FGFR2","176943.0007"
"1348","PRNP","176640.0001"
"1349","FGFR2","176943.0001"
"1350","ELN","130160.0008"
"1351","FGFR2","176943.0015"
"1352","BCS1L","603647.0001"
"1353","ATP2A2","108740.0001"
"1354","ATP6B1B2","606939.0001"
"1355","GJB2","121011.0012"
"1356","DIAPH1","602121.0001"
"1357","OPA1","605290.0011"
"1358","NOTCH3","600276.0001"
"1359","PTHR1","168468.0012"
"1360","DRPLA","607462.0001"
"1361","SMOC2","607223.0001"
"1362","DSPP","125485.0005"
"1363","DSPP","125485.0001"
"1364","DSPP","125485.0004"
"1365","KRT14","148066.0016"
"1366","ADGRE2","606100"
"1367","AQP2","107777.0001"
"1368","PTPRC","151460.0001"
"1369","MHC2TA","600005.0007"
"1370","FAM111A","615292.0001"
"1371","SHOX","312865.0002"
"1372","ADAR","601059.0001"
"1373","TERC","602322.0001"
"1374","SNCA","163890.0004"
"1375","SNCB","602569.0001"
"1376","DYT1","605204.0001"
"1377","TUBB4A","602662.0001"
"1378","PRRT2","614386.0001"
"1379","GCH1","600225.0001"
"1380","ATP1A3","182350.0001"
"1381","SMARCAD1","612761.0001"
"1382","TP63","603273.0007"
"1383","EDAR","604095.0005"
"1384","EDARADD","606603.0002"
"1385","GJB6","604418.0002"
"1386","FBN1","134797.0015"
"1387","COL5A1","120215.0002"
"1388","COL5A2","120190.0001"
"1389","COL3A1","120180.0001"
"1390","COL1A1","120150.0026"
"1391","COL1A2","120160.0001"
"1392","B4GALT7","604327.0001"
"1393","C1R","613785.0001"
"1394","SPTA1","182860.0001"
"1395","CDKN1C","600856.0001"
"1396","NSD1","606681.0011"
"1397","KCNQ1OT1","604115.0001"
"1398","NOTCH3","600276.0013"
"1399","FAM83H","611927.0001"
"1400","MEN1","131100.0001"
"1401","TGFB1","190180.0001"
"1402","COL7A1","120120.0014"
"1403","COL7A1","120120.0002"
"1404","KRT5","148040.0001"
"1405","KRT14","148066.0002"
"1406","KRT5","148040.0003"
"1407","KRT14","148066.0005"
"1408","COL7A1","120120.0007"
"1409","KRT5","148040.0002"
"1410","KRT14","148066.0001"
"1411","PLEC1","601282.0005"
"1412","KRT5","148040.0009"
"1413","COMP","600310.0005"
"1414","COL2A1","120140.0029"
"1415","CTNNB1","116806.0006"
"1416","CYLD","605018"
"1417","TGFBR1","190181.0009"
"1418","MYH11","160745.0001"
"1419","SCN9A","603415.0001"
"1420","EPOR","133171.0001"
"1421","ELOVL4","605512.0007"
"1422","GJB3","603324.0001"
"1423","GJB4","605425.0001"
"1424","GJA1","121014.0024"
"1425","ERCC6","609413.0001"
"1426","EXT1","133700.0001"
"1427","EXT2","133701.0001"
"1428","FZD4","604579.0001"
"1429","MEFV","608107.0018"
"1430","ACVR1","102576.0001"
"1431","FLCN","607273.0001"
"1432","SOS1","182530.0001"
"1433","ABCA5","612503.0001"
"1434","KCNH1","603305.0005"
"1435","KIF21A","608283.0001"
"1436","LMBR1","605522.0018"
"1437","ARID1B","614556.0001"
"1438","LCAT","606967.0005"
"1439","SRCAP","611421.0001"
"1440","PAX6","607108.0012"
"1441","DHS6S1","616842.0001"
"1442","DIP2B","611379.0001"
"1443","WT1","607102.0018"
"1444","ALX3","606014.0001"
"1445","COL8A2","120252.0001"
"1446","RLBP1","180090.0001"
"1447","RDH5","601617.0001"
"1448","PRPH2","179605.0005"
"1449","TIMP3","188826.0001"
"1450","HINT1","601314.0001"
"1451","CDH1","192090.0002"
"1452","PRNP","176640.0002"
"1453","MYOC","601652.0001"
"1454","TP53","191170.0042"
"1455","TCF2","189907.0001"
"1456","SOX18","601618.0003"
"1457","DICER1","606241.0007"
"1458","NBEAL2","614169.0001"
"1459","SMAD4","600993.0015"
"1460","HOXA13","142959.0001"
"1461","HPD","609695.0005"
"1462","COL4A3","120070.0007"
"1463","COL4A4","120131.0003"
"1464","CACNA1A","601011.0001"
"1465","HBB","141900.0437"
"1466","HBG1","142200.0026"
"1467","HBG2","142250.0026"
"1468","NCSTN","605254.0001"
"1469","RET","164761.0014"
"1470","EDN3","131242.0004"
"1471","UFSP2","611482.0001"
"1472","TNFRSF1A","191190.0001"
"1473","TBX5","601620.0001"
"1474","CHST3","603799.0001"
"1475","HTT","613004.0001"
"1476","CSPG2","118661.0001"
"1477","TBX18","604613.0001"
"1478","CETP","118470.0001"
"1479","UGT1A1","191740.0010"
"1480","CA12","603263.0001"
"1481","SAC","605205.0001"
"1482","CYP24A1","126065.0001"
"1483","LDLR","143890.0001"
"1484","KRT1","139350.0014"
"1485","KRT9","607606.0001"
"1486","LRP5","603506.0015"
"1487","CDC73","607393.0004"
"1488","HRPT2","607393.0001"
"1489","KITLG","184745.0003"
"1490","SPECC1L","614140.0002"
"1491","RYR1","180901.0001"
"1492","MPZ","159440.0004"
"1493","PMP22","601097.0006"
"1494","PRX","605725.0001"
"1495","EGR2","129010.0004"
"1496","CASR","601199.0001"
"1497","FGFR3","134934.0010"
"1498","GNRHR","138850.0001"
"1499","GATA3","131320.0001"
"1500","COQ2","609825.0006"
"1501","GLI3","165240.0002"
"1502","STAT3","102582.0001"
"1503","SHH","600725.0014"
"1504","ATP8B1","602397.0010"
"1505","SALL4","607343.0013"
"1506","TBX4","601719.0001"
"1507","MLL2","602113.0001"
"1508","FGFR1","136350.0002"
"1509","ANKRD11","611192.0001"
"1510","GJB2","121011.0020"
"1511","VSX1","148300.0001"
"1512","GJB2","121011.0015"
"1513","MTTS1","590080.0002"
"1514","RHBDf2","614404.0001"
"1515","DSG1","125670.0001"
"1516","PAX3","606597.0009"
"1517","GLRA1","138491.0001"
"1518","IGSF3","603491.0001"
"1519","FGFR2","176943.0035"
"1520","FGFR3","134934.0028"
"1521","FGF10","602115.0003"
"1522","TRPS1","604386"
"1523","EXT1","133700"
"1524","FLNB","603381.0004"
"1525","FH","136850.0003"
"1526","PTDSS1","612792.0001"
"1527","PTPN11","176876.0005"
"1528","COL2A1","120140.0039"
"1529","PLCD1","602142.0001"
"1530","TP53","191170.0001"
"1531","LMNA","150330.0003"
"1532","TNFSF6","134638.0001"
"1533","FCGR2A","146790.0001"
"1534","KIF11","148760.0001"
"1535","FLT4","136352.0001"
"1536","FOXC2","602402.0001"
"1537","PTEN","601728.0004"
"1538","RPS14","130620"
"1539","MYH9","160775.0005"
"1540","MYH9","160775.0006"
"1541","GP1BA","606672.0006"
"1542","BEST1","607854.0001"
"1543","FXYD2","601814.0001"
"1544","SF3B4","605593.0001"
"1545","TCOF1","154500.0001"
"1546","FBN1","134797.0001"
"1547","COL11A1","120280.0002"
"1548","MYH9","160775.0001"
"1549","SUFU","607035.0005"
"1550","CTNNB1","116806.0007"
"1551","PTCH2","603673.0001"
"1552","ACTG2","102545.0001"
"1553","CDKN2A","600160.0001"
"1554","MBD5","611472.0001"
"1555","FOXP3","300292.0001"
"1556","AVPR2","300538.0001"
"1557","DKC1","300126.0001"
"1558","ED1","300451.0001"
"1559","NDP","300659.0006"
"1560","EPG5","615068.0001"
"1561","DNMT3B","602900.0001"
"1562","FGD1","300546.0001"
"1563","MED12","300188.0001"
"1564","PORCN","300651.0001"
"1565","FLNA","300017.0011"
"1566","PHKA2","306000.0001"
"1567","CYBB","300481.0001"
"1568","F8","306700.0001"
"1569","F9","300746.0001"
"1570","ZIC3","300265.0001"
"1571","L1CAM","308840.0001"
"1572","GK","300474"
"1573","BTK","300300.0004"
"1574","PHEX","300550.0001"
"1575","NSDHL","300275.0001"
"1576","EBP","300205.0006"
"1577","STS","300747.0001"
"1578","MBTPS2","300294.0001"
"1579","TNFSF5","308230.0001"
"1580","SH2D1A","300490.0001"
"1581","IKBKG","300248.0001"
"1582","ARX","300382.0001"
"1583","KAL1","300836.0001"
"1584","MBTPS2","300294.0006"
"1585","COL4A5","303630"
"1586","COL4A6","303631"
"1587","OCRL1","300535.0001"
"1588","TEX11","300311.0001"
"1589","CHRDL1","300350.0001"
"1590","FLNA","300017.0012"
"1591","ATP7A","300011.0001"
"1592","XH2","300032.0011"
"1593","SMS","300105.0001"
"1594","PQBP1","300463.0001"
"1595","MED12","300188.0002"
"1596","IQSEC2","300522.0001"
"1597","HCFC1","300019.0001"
"1598","AFF2","300806.0001"
"1599","FTSJ1","300449.0001"
"1600","FGF16","300827.0001"
"1601","NAA10","300013.0002"
"1602","HCCS","300056.0001"
"1603","IDS","309900.0001"
"1604","DMD","300377.0001"
"1605","EMD","300384.0001"
"1606","MTM1","300415.0001"
"1607","VMA21","300913.0001"
"1608","CLCN5","300008.0005"
"1609","AIFM1","300169.0002"
"1610","NYX","300278.0001"
"1611","NDP","300658.0001"
"1612","FRMD7","300628.0001"
"1613","PRPS1","311850.0009"
"1614","OFD1","300170.0001"
"1615","OTC","311250.0001"
"1616","RAB39B","300774.0003"
"1617","RBM10","300080.0001"
"1618","PFC","300383.0001"
"1619","PLP1","300401.0001"
"1620","PDHA1","300502.0001"
"1621","AR","313700.0008"
"1622","RP2","312600.0001"
"1623","RS1","300839.0001"
"1624","MECP2","300005.0001"
"1625","IL2RG","308380.0008"
"1626","GPC3","300037.0001"
"1627","PLP1","300401.0012"
"1628","AR","313700.0014"
"1629","SEDL","300202.0001"
"1630","EDA","300451.0014"
"1631","WAS","300392.0004"
"1632","GATA1","305371.0006"
"1633","TAF1","313650.0001"
"1634","ZC4H2","300897.0001"
"1635","MTND1","516000.0012"
"1636","MTND3","516002.0004"
"1637","MTND4","516003.0003"
"1638","MTTE","590025.0001"
"1639","MTATP6","516060.0005"
"1640","MTTE","590025.0002"
"1641","MTTK","590060.0005"
"1642","MTTL1","590050.0011"
"1643","MTND4L","516004.0002"
"1644","MTCYB","516020.0001"
"1645","MTCO1","516030.0001"
"1646","MTCO3","516050.0001"
"1647","MTAP6","516060.0003"
"1648","MTTQ","590030.0003"
"1649","MTTH","590040.0003"
"1650","MTTK","590060.0002"
"1651","MTTC","590020.0001"
"1652","MTTS1","590080.0001"
"1653","MTND5","516005.0004"
"1654","MTND6","516006.0005"
"1655","MTRNR1","561000.0001"
"1656","GATA6","601656.0006"
"1657","PTHR1","168468.0009"
"1658","MYO7A","276903.0007"
"1659","PRNP","176640.0010"
"1660","CYP2R1","608713.0001"
"1661","PRPF8","607300.0001"
"1662","HTRA1","602194.0002"
"1663","KCNQ4","603537.0001"
"1664","CLN8","607837.0002"
"1665","ELOVL4","605512.0001"
"1666","PARK2","602544.0001"
"1667","RAB3GAP1","602536.0001"
"1668","AGPS","603051.0001"
"1669","PRPF31","606419.0001"
"1670","ARL6","608845.0001"
"1671","SPECC1L","614140.0001"
"1672","COL9A2","120260.0001"
"1673","MYH9","160775.0010"
"1674","SPTBN2","604985.0001"
"1675","MAPT","157140.0001"
"1676","PSEN1","104311.0023"
"1677","EML1","602033.0001"
"1678","NIPA1","608145.0001"
"1679","LONP1","605490.0001"
"1680","ALK1","601284.0001"
"1681","PUS1","608109.0001"
"1682","FKRP","606596.0004"
"1683","DUOX2","606759.0001"
"1684","SPG7","602783.0001"
"1685","SCN1A","182389.0007"
"1686","SCN9A","603415.0019"
"1687","GABRG2","137164.0003"
"1688","MET","164860.0013"
"1689","ALS2","606352.0005"
"1690","PANK2","607157.0011"
"1691","CASP8","601763.0001"
"1692","ACTB","102630.0001"
"1693","ROBO3","608630.0001"
"1694","SALL4","607323.0001"
"1695","FLJ90130","607461.0005"
"1696","SC5DL","602286.0001"
"1697","MRAP","609196.0001"
"1698","TSC1","605284.0010"
"1699","TS2","191092.0018"
"1700","MTOR","601231.0003"
"1701","KCND3","605411.0001"
"1702","TMEM67","609884.0001"
"1703","CLCNKB","602023.0001"
"1704","RLBP1","180090.0004"
"1705","CRBN","609262.0001"
"1706","SLC19A3","606152.0001"
"1707","GRN","138945.0001"
"1708","TCAP","604488.0003"
"1709","COQ2","609825.0001"
"1710","PAFAH1B1","601545.0001"
"1711","DSP","125647.0003"
"1712","CCDC50","611051.0001"
"1713","TMEM240","616101.0001"
"1714","ICOS","605448.0001"
"1715","COL4A1","120130.0003"
"1716","VRK1","602168.0001"
"1717","ERBB3","190151.0001"
"1718","BHLHA9","615416.0004"
"1719","TGFBI","601692.0004"
"1720","KCNQ1","607542.0032"
"1721","KRT1","139350.0005"
"1722","KRT10","148080.0014"
"1723","DSP","125647.0004"
"1724","SMPD1","607608.0002"
"1725","MPZ","159440.0017"
"1726","EGR2","129010.0002"
"1727","RAB27A","603868.0001"
"1728","GABRG2","137164.0002"
"1729","NPC1","601015.0001"
"1730","CACNB4","601949.0001"
"1731","CLDN1","603718.0001"
"1732","NEFL","162280.0001"
"1733","CLCN2","600570.0001"
"1734","FIP1L1","607686"
"1735","PDGFRA","173490"
"1736","CLCN2","600570.0003"
"1737","LRP5","603506.0014"
"1738","POLR3A","614258.0001"
"1739","DCTN1","601143.0001"
"1740","GDAP1","606598.0002"
"1741","IHH","600726.0005"
"1742","SHOC2","602775.0001"
"1743","CBL","165360.0009"
"1744","NF1","613113.0019"
"1745","ARHGAP26","605370.0001"
"1746","PTPN11","176876.0014"
"1747","NRAS","164790.0003"
"1748","KRAS","190070.0003"
"1749","MPZ","159440.0018"
"1750","NEFL","162280.0003"
"1751","MPZ","159440.0016"
"1752","SCN2A","182390.0002"
"1753","HSD3B7","607764.0001"
"1754","LAMA2","156225.0001"
"1755","CAV3","601253.0001"
